Nom;Modèle;Marque;Capacité;RAM;Connectivité;Couleur;norm;tokens;EAN;PartNumber
+ frais de transport chrono;+ frais de transport chrono;;;;;;+ frais de transport chrono;{'de', '+', 'frais', 'chrono', 'transport'};;
Abonnement forfait convergence;Abonnement forfait convergence;;;;;;abonnement forfait convergence;{'abonnement', 'convergence', 'forfait'};;
Acompte;Acompte;;;;;;acompte;{'acompte'};;
activation de SIM;activation de SIM;;;;;;activation de sim;{'sim', 'de', 'activation'};;
Honor 200 Lite 5G DS 8/256Gb Cyan Lake;200 Lite DS Cyan Lake;Honor;256GB;8;5G;;honor 200 lite 5g ds 8 256gb cyan lake;{'256gb', '5g', 'honor', '200', 'lake', 'cyan', 'ds', '8', 'lite'};;
Honor 200 Lite 5G DS 8/256Gb Midnight Black;200 Lite DS Black;Honor;256GB;8;5G;Midnight;honor 200 lite 5g ds 8 256gb midnight black;{'black', '256gb', '5g', 'honor', '200', 'ds', '8', 'midnight', 'lite'};;
Honor 200 Pro 5G DS 12/512Gb Black;200 Pro DS;Honor;512GB;12;5G;Black;honor 200 pro 5g ds 12 512gb black;{'black', '5g', '12', 'honor', '512gb', '200', 'ds', 'pro'};;
Honor 400 5G DS 8/512Gb Desert Gold;400 DS Gold;Honor;512GB;8;5G;Desert;honor 400 5g ds 8 512gb desert gold;{'5g', '400', 'honor', '512gb', 'gold', 'desert', 'ds', '8'};6936520867615;904207306
Honor 400 5G DS 8/512Gb Midnight Black;400 DS Black;Honor;512GB;8;5G;Midnight;honor 400 5g ds 8 512gb midnight black;{'black', '5g', '400', 'honor', '512gb', 'ds', '8', 'midnight'};6936520867608;
Honor 400 Lite 5G DS 8/256Gb Black;400 Lite DS;Honor;256GB;8;5G;Black;honor 400 lite 5g ds 8 256gb black;{'black', '256gb', '5g', '400', 'honor', 'ds', '8', 'lite'};6936520865079;
Honor 400 Lite 5G DS 8/256Gb Green;400 Lite DS;Honor;256GB;8;5G;Green;honor 400 lite 5g ds 8 256gb green;{'256gb', '5g', '400', 'green', 'honor', 'ds', '8', 'lite'};6936520865086;
Honor 400 Lite 5G DS 8/256Gb Grey;400 Lite DS;Honor;256GB;8;5G;Grey;honor 400 lite 5g ds 8 256gb grey;{'256gb', '5g', '400', 'honor', 'grey', 'ds', '8', 'lite'};6936520865093;
Honor 400 Pro 5G DS 12/512Gb Black;400 Pro DS;Honor;512GB;12;5G;Black;honor 400 pro 5g ds 12 512gb black;{'black', '5g', '400', '12', 'honor', '512gb', 'ds', 'pro'};6936520867523;
Honor 400 Pro 5G DS 12/512Gb Grey;400 Pro DS;Honor;512GB;12;5G;Grey;honor 400 pro 5g ds 12 512gb grey;{'5g', '400', '12', 'honor', '512gb', 'grey', 'ds', 'pro'};;
Honor 70 5G DS 8/128Gb Midnight Black;70 DS Black;Honor;128GB;8;5G;Midnight;honor 70 5g ds 8 128gb midnight black;{'black', '5g', 'honor', '128gb', 'ds', '70', '8', 'midnight'};;
Honor Magic Earbuds White;Magic;Honor;;;;White;honor magic earbuds white;{'honor', 'magic', 'earbuds', 'white'};6901443370313;
Honor Magic V3 5G DS 12/512Gb Black;Magic V3 DS;Honor;512GB;12;5G;Black;honor magic v3 5g ds 12 512gb black;{'black', '5g', '12', 'honor', '512gb', 'v3', 'ds', 'magic'};;
Honor Magic V3 5G DS 12/512Gb Brown;Magic V3 DS;Honor;512GB;12;5G;Brown;honor magic v3 5g ds 12 512gb brown;{'brown', '5g', '12', 'honor', '512gb', 'v3', 'ds', 'magic'};;
Honor Magic V3 5G DS 12/512Gb Green;Magic V3 DS;Honor;512GB;12;5G;Green;honor magic v3 5g ds 12 512gb green;{'green', '5g', '12', 'honor', '512gb', 'v3', 'ds', 'magic'};;
Honor Magic V5 5G DS 16/512Gb Black;Magic V5 DS;Honor;512GB;16;5G;Black;honor magic v5 5g ds 16 512gb black;{'16', 'black', '5g', 'v5', 'honor', '512gb', 'ds', 'magic'};;
Honor Magic V5 5G DS 16/512Gb Brown;Magic V5 DS;Honor;512GB;16;5G;Brown;honor magic v5 5g ds 16 512gb brown;{'16', 'brown', '5g', 'v5', 'honor', '512gb', 'ds', 'magic'};;
Honor Magic V5 5G DS 16/512Gb Gold;Magic V5 DS;Honor;512GB;16;5G;Gold;honor magic v5 5g ds 16 512gb gold;{'16', '5g', 'v5', 'honor', '512gb', 'gold', 'ds', 'magic'};;
Honor Magic6 Lite 5G DS 8/256Gb Black;Magic6 Lite DS;Honor;256GB;8;5G;Black;honor magic6 lite 5g ds 8 256gb black;{'black', 'magic6', '256gb', '5g', 'honor', 'ds', '8', 'lite'};;
Honor Magic6 Lite 5G DS 8/256Gb Green;Magic6 Lite DS;Honor;256GB;8;5G;Green;honor magic6 lite 5g ds 8 256gb green;{'magic6', '256gb', '5g', 'green', 'honor', 'ds', '8', 'lite'};;
Honor Magic7 Lite 5G DS 8/256Gb Titanium Black;Magic7 Lite DS Black;Honor;256GB;8;5G;Titanium;honor magic7 lite 5g ds 8 256gb titanium black;{'black', '256gb', '5g', 'honor', 'titanium', 'ds', 'magic7', '8', 'lite'};6936520856817;5109BQBG
Honor Magic7 Lite 5G DS 8/256Gb Titanium Purple;Magic7 Lite DS Purple;Honor;256GB;8;5G;Titanium;honor magic7 lite 5g ds 8 256gb titanium purple;{'256gb', '5g', 'honor', 'titanium', 'purple', 'ds', 'magic7', '8', 'lite'};6936520856831;5109BQBE
Honor Magic7 Lite 5G DS 8/512Gb Purple;Magic7 Lite DS;Honor;512GB;8;5G;Purple;honor magic7 lite 5g ds 8 512gb purple;{'5g', 'honor', '512gb', 'purple', 'ds', 'magic7', '8', 'lite'};6936520858705;
Honor Magic7 Lite 5G DS 8/512Gb Titanium Black;Magic7 Lite DS Black;Honor;512GB;8;5G;Titanium;honor magic7 lite 5g ds 8 512gb titanium black;{'black', '5g', 'honor', '512gb', 'titanium', 'ds', 'magic7', '8', 'lite'};6936520858699;
Honor Magic7 Lite 5G DS 8/512Gb Titanium Purple;Magic7 Lite DS Purple;Honor;512GB;8;5G;Titanium;honor magic7 lite 5g ds 8 512gb titanium purple;{'5g', 'honor', '512gb', 'titanium', 'purple', 'ds', 'magic7', '8', 'lite'};;
Honor Magic7 Pro 5G DS 12/512Gb Black;Magic7 Pro DS;Honor;512GB;12;5G;Black;honor magic7 pro 5g ds 12 512gb black;{'black', '5g', '12', 'honor', '512gb', 'ds', 'pro', 'magic7'};;
Honor Magic7 Pro 5G DS 12/512Gb Blue;Magic7 Pro DS;Honor;512GB;12;5G;Blue;honor magic7 pro 5g ds 12 512gb blue;{'5g', '12', 'honor', '512gb', 'ds', 'blue', 'pro', 'magic7'};;
Honor Magic7 Pro 5G DS 12/512Gb Grey;Magic7 Pro DS;Honor;512GB;12;5G;Grey;honor magic7 pro 5g ds 12 512gb grey;{'5g', '12', 'honor', '512gb', 'grey', 'ds', 'pro', 'magic7'};6936520858729;
Honor SuperCharge Power Adapter 100W White;SuperCharge Power Adapter 100W;Honor;;;;White;honor supercharge power adapter 100w white;{'supercharge', '100w', 'honor', 'power', 'adapter', 'white'};6936520836949;
Honor SuperCharge Power Adapter 66W White;SuperCharge Power Adapter 66W;Honor;;;;White;honor supercharge power adapter 66w white;{'66w', 'supercharge', 'honor', 'power', 'adapter', 'white'};6936520810420;
Honor Watch 4 Black;Watch 4;Honor;;;;Black;honor watch 4 black;{'honor', '4', 'black', 'watch'};6936520829279;
Honor X6b DS 4/128Gb LTE Midnight Black;X6b DS Black;Honor;128GB;4;LTE;Midnight;honor x6b ds 4 128gb lte midnight black;{'black', 'honor', '4', 'lte', '128gb', 'ds', 'x6b', 'midnight'};;
Honor X8c DS 8/256Gb LTE Black;X8c DS;Honor;256GB;8;LTE;Black;honor x8c ds 8 256gb lte black;{'black', '256gb', 'x8c', 'honor', 'lte', 'ds', '8'};;
Honor X8c DS 8/256Gb LTE Green;X8c DS;Honor;256GB;8;LTE;Green;honor x8c ds 8 256gb lte green;{'256gb', 'green', 'x8c', 'honor', 'lte', 'ds', '8'};;
Hotwav Cyber 13 4G DS 8/128Gb Black NFC;Hotwav Cyber 13 DS;Hotwav;128GB;8;4G;Black;hotwav cyber 13 4g ds 8 128gb black nfc;{'black', 'nfc', 'cyber', '4g', '128gb', 'ds', '13', '8', 'hotwav'};;
Hotwav Cyber 13 4G DS 8/128Gb Orange NFC;Hotwav Cyber 13 DS;Hotwav;128GB;8;4G;Orange;hotwav cyber 13 4g ds 8 128gb orange nfc;{'nfc', 'cyber', 'orange', '4g', '128gb', 'ds', '13', '8', 'hotwav'};;
Hotwav Cyber 15 4G DS 12/256Gb Black NFC;Hotwav Cyber 15 DS;Hotwav;256GB;12;4G;Black;hotwav cyber 15 4g ds 12 256gb black nfc;{'black', 'cyber', '256gb', '12', '4g', 'ds', 'nfc', '15', 'hotwav'};;
Hotwav Cyber 15 4G DS 12/256Gb Gold NFC;Hotwav Cyber 15 DS;Hotwav;256GB;12;4G;Gold;hotwav cyber 15 4g ds 12 256gb gold nfc;{'cyber', '256gb', '12', 'gold', '4g', 'ds', 'nfc', '15', 'hotwav'};;
Hotwav Hyper 7 5G DS 8/256Gb Black NFC;Hotwav Hyper 7 DS;Hotwav;256GB;8;5G;Black;hotwav hyper 7 5g ds 8 256gb black nfc;{'black', '256gb', '5g', 'hyper', 'ds', '7', 'nfc', '8', 'hotwav'};;
Hotwav Hyper 7 5G DS 8/256Gb Yellow NFC;Hotwav Hyper 7 DS;Hotwav;256GB;8;5G;Yellow;hotwav hyper 7 5g ds 8 256gb yellow nfc;{'256gb', '5g', 'hyper', 'yellow', 'ds', '7', 'nfc', '8', 'hotwav'};;
Hotwav Hyper 7 Pro 5G DS 16/256Gb Black NFC;Hotwav Hyper 7 Pro DS;Hotwav;256GB;16;5G;Black;hotwav hyper 7 pro 5g ds 16 256gb black nfc;{'16', 'black', '256gb', '5g', 'hyper', 'ds', '7', 'nfc', 'pro', 'hotwav'};;
Hotwav Hyper 7 Pro 5G DS 16/256Gb Red NFC;Hotwav Hyper 7 Pro DS;Hotwav;256GB;16;5G;Red;hotwav hyper 7 pro 5g ds 16 256gb red nfc;{'16', 'red', '256gb', '5g', 'hyper', 'ds', '7', 'nfc', 'pro', 'hotwav'};;
Hotwav Keybord PAD 11 QWERTY Clavier Bluetooth Black;Hotwav Keybord PAD 11 QWERTY Clavier Bluetooth;Hotwav;;;;Black;hotwav keybord pad 11 qwerty clavier bluetooth black;{'black', 'bluetooth', '11', 'pad', 'qwerty', 'keybord', 'hotwav', 'clavier'};;
Hotwav Note 13 4G DS 4/128Gb Blue;Hotwav Note 13 DS;Hotwav;128GB;4;4G;Blue;hotwav note 13 4g ds 4 128gb blue;{'4', '4g', '128gb', 'ds', 'blue', '13', 'note', 'hotwav'};;
Hotwav Note 13 4G DS 4/128Gb Dark Grey;Hotwav Note 13 DS Dark;Hotwav;128GB;4;4G;Grey;hotwav note 13 4g ds 4 128gb dark grey;{'4', 'dark', '4g', 'grey', '128gb', 'ds', '13', 'note', 'hotwav'};;
Hotwav Note 13 4G DS 4/128Gb Purple;Hotwav Note 13 DS;Hotwav;128GB;4;4G;Purple;hotwav note 13 4g ds 4 128gb purple;{'4', 'purple', '4g', '128gb', 'ds', '13', 'note', 'hotwav'};;
Hotwav Note 13 Max 4G DS 6/256Gb Phantom Black;Hotwav Note 13 Max DS;Hotwav;256GB;6;4G;Phantom Black;hotwav note 13 max 4g ds 6 256gb phantom black;{'black', '256gb', '6', '4g', 'max', 'ds', '13', 'note', 'phantom', 'hotwav'};;
Hotwav Note 13 Max 4G DS 6/256Gb Radiant Purple;Hotwav Note 13 Max DS Radiant;Hotwav;256GB;6;4G;Purple;hotwav note 13 max 4g ds 6 256gb radiant purple;{'256gb', '6', 'purple', '4g', 'max', 'ds', '13', 'radiant', 'note', 'hotwav'};;
Hotwav Note 13 Max 4G DS 6/256Gb Titan Gold;Hotwav Note 13 Max DS Titan;Hotwav;256GB;6;4G;Gold;hotwav note 13 max 4g ds 6 256gb titan gold;{'256gb', 'titan', '6', 'gold', '4g', 'max', 'ds', '13', 'note', 'hotwav'};;
Hotwav Note 15 4G DS 4/64Gb Black;Hotwav Note 15 DS;Hotwav;64GB;4;4G;Black;hotwav note 15 4g ds 4 64gb black;{'black', '4', '64gb', '4g', 'ds', 'note', '15', 'hotwav'};;
Hotwav Note 15 4G DS 4/64Gb Indigo;Hotwav Note 15 DS;Hotwav;64GB;4;4G;Indigo;hotwav note 15 4g ds 4 64gb indigo;{'4', '64gb', '4g', 'indigo', 'ds', 'note', '15', 'hotwav'};;
Hotwav Note 15 4G DS 4/64Gb Ocean Blue;Hotwav Note 15 DS Blue;Hotwav;64GB;4;4G;Ocean;hotwav note 15 4g ds 4 64gb ocean blue;{'4', '64gb', '4g', 'ocean', 'ds', 'blue', 'note', '15', 'hotwav'};;
Hotwav Note 15 pro 4G DS 4/128Gb Black;Hotwav Note 15 pro DS;Hotwav;128GB;4;4G;Black;hotwav note 15 pro 4g ds 4 128gb black;{'black', '4', '4g', '128gb', 'ds', 'pro', 'note', '15', 'hotwav'};;
Hotwav Note 15 pro 4G DS 4/128Gb Mint Blue;Hotwav Note 15 pro DS Blue;Hotwav;128GB;4;4G;Mint;hotwav note 15 pro 4g ds 4 128gb mint blue;{'4', '4g', '128gb', 'mint', 'ds', 'blue', 'pro', 'note', '15', 'hotwav'};;
Hotwav Note 15 pro 4G DS 4/128Gb Phantom Blue;Hotwav Note 15 pro DS Phantom;Hotwav;128GB;4;4G;Blue;hotwav note 15 pro 4g ds 4 128gb phantom blue;{'4', 'phantom', '4g', '128gb', 'ds', 'blue', 'pro', 'note', '15', 'hotwav'};;
Hotwav Note 16 4G DS 4/64Gb Black 6,9'';Hotwav Note 16 DS 6 9'';Hotwav;64GB;4;4G;Black;hotwav note 16 4g ds 4 64gb black 6 9'';"{'16', 'black', '4', '6', '64gb', '4g', ""9''"", 'ds', 'note', 'hotwav'}";;
Hotwav Note 16 4G DS 4/64Gb Blue 6,9'';Hotwav Note 16 DS 6 9'';Hotwav;64GB;4;4G;Blue;hotwav note 16 4g ds 4 64gb blue 6 9'';"{'16', '4', '6', '64gb', '4g', ""9''"", 'ds', 'blue', 'note', 'hotwav'}";;
Hotwav Note 16 4G DS 4/64Gb Gold 6,9'';Hotwav Note 16 DS 6 9'';Hotwav;64GB;4;4G;Gold;hotwav note 16 4g ds 4 64gb gold 6 9'';"{'16', '4', '6', '64gb', '4g', 'gold', ""9''"", 'ds', 'note', 'hotwav'}";;
Hotwav Note 16 Pro 4G DS 4/128Gb Black 6,9'';Hotwav Note 16 Pro DS 6 9'';Hotwav;128GB;4;4G;Black;hotwav note 16 pro 4g ds 4 128gb black 6 9'';"{'16', 'black', '4', '6', '4g', '128gb', ""9''"", 'ds', 'pro', 'note', 'hotwav'}";;
Hotwav Note 16 Pro 4G DS 4/128Gb Gold 6,9'';Hotwav Note 16 Pro DS 6 9'';Hotwav;128GB;4;4G;Gold;hotwav note 16 pro 4g ds 4 128gb gold 6 9'';"{'16', '4', '6', 'gold', '4g', '128gb', ""9''"", 'ds', 'pro', 'note', 'hotwav'}";;
Hotwav Note 16 Pro 4G DS 4/128Gb Red 6,9'';Hotwav Note 16 Pro DS 6 9'';Hotwav;128GB;4;4G;Red;hotwav note 16 pro 4g ds 4 128gb red 6 9'';"{'16', 'red', '4', '6', '4g', '128gb', ""9''"", 'ds', 'pro', 'note', 'hotwav'}";;
Hotwav T7 4G DS 4/128Gb Black;Hotwav T7 DS;Hotwav;128GB;4;4G;Black;hotwav t7 4g ds 4 128gb black;{'black', '4', '4g', '128gb', 'ds', 'hotwav', 't7'};;
Hotwav T7 4G DS 4/128Gb Red;Hotwav T7 DS;Hotwav;128GB;4;4G;Red;hotwav t7 4g ds 4 128gb red;{'red', '4', '4g', '128gb', 'ds', 'hotwav', 't7'};;
Hotwav T7 pro 4G DS 6/256Gb Black NFC;Hotwav T7 pro DS;Hotwav;256GB;6;4G;Black;hotwav t7 pro 4g ds 6 256gb black nfc;{'black', '256gb', '6', '4g', 'ds', 'nfc', 'pro', 'hotwav', 't7'};;
Hotwav T7 pro 4G DS 6/256Gb Orange NFC;Hotwav T7 pro DS;Hotwav;256GB;6;4G;Orange;hotwav t7 pro 4g ds 6 256gb orange nfc;{'256gb', 'orange', '6', '4g', 'ds', 'nfc', 'pro', 'hotwav', 't7'};;
Hotwav T7S 4G DS 4/128Gb Black;Hotwav T7S DS;Hotwav;128GB;4;4G;Black;hotwav t7s 4g ds 4 128gb black;{'black', '4', '4g', 't7s', '128gb', 'ds', 'hotwav'};;
Hotwav T7S 4G DS 4/128Gb Green;Hotwav T7S DS;Hotwav;128GB;4;4G;Green;hotwav t7s 4g ds 4 128gb green;{'green', '4', '4g', 't7s', '128gb', 'ds', 'hotwav'};;
"Hotwav TAB PAD 11 11"" 6/256Gb Black LTE ";"Hotwav TAB PAD 11 11""";Hotwav;256GB;6;LTE;Black;"hotwav tab pad 11 11"" 6 256gb black lte";"{'black', '256gb', '11', 'pad', '6', 'lte', 'tab', 'hotwav', '11""'}";;
"Hotwav TAB PAD 11 11"" 6/256Gb Grey LTE";"Hotwav TAB PAD 11 11""";Hotwav;256GB;6;LTE;Grey;"hotwav tab pad 11 11"" 6 256gb grey lte";"{'256gb', '11', 'pad', '6', 'lte', 'tab', 'grey', 'hotwav', '11""'}";;
"Hotwav TAB R10 Pro 10.1"" 8/256Gb Black LTE";"Hotwav TAB R10 Pro 10.1""";Hotwav;256GB;8;LTE;Black;"hotwav tab r10 pro 10.1"" 8 256gb black lte";"{'black', 'r10', '256gb', 'lte', 'tab', 'pro', '8', 'hotwav', '10.1""'}";;
"Hotwav TAB R10 Pro 10.1"" 8/256Gb Orange LTE";"Hotwav TAB R10 Pro 10.1""";Hotwav;256GB;8;LTE;Orange;"hotwav tab r10 pro 10.1"" 8 256gb orange lte";"{'r10', '256gb', 'orange', 'lte', 'tab', 'pro', '8', 'hotwav', '10.1""'}";;
"Hotwav TAB R7 10.1"" 6/256Gb Grey LTE";"Hotwav TAB R7 10.1""";Hotwav;256GB;6;LTE;Grey;"hotwav tab r7 10.1"" 6 256gb grey lte";"{'256gb', '6', 'lte', 'tab', 'grey', 'r7', 'hotwav', '10.1""'}";;
"Hotwav TAB R7 10.1"" 6/256Gb Orange LTE";"Hotwav TAB R7 10.1""";Hotwav;256GB;6;LTE;Orange;"hotwav tab r7 10.1"" 6 256gb orange lte";"{'256gb', 'orange', '6', 'lte', 'tab', 'r7', 'hotwav', '10.1""'}";;
"Hotwav TAB R8 10.1"" 4/128Gb Black LTE";"Hotwav TAB R8 10.1""";Hotwav;128GB;4;LTE;Black;"hotwav tab r8 10.1"" 4 128gb black lte";"{'black', '4', 'lte', 'r8', 'tab', '128gb', 'hotwav', '10.1""'}";;
"Hotwav TAB R8 10.1"" 4/128Gb Orange LTE";"Hotwav TAB R8 10.1""";Hotwav;128GB;4;LTE;Orange;"hotwav tab r8 10.1"" 4 128gb orange lte";"{'orange', '4', 'lte', 'r8', 'tab', '128gb', 'hotwav', '10.1""'}";;
"Hotwav TAB R9 Pro 11"" 6/256Gb Black LTE";"Hotwav TAB R9 Pro 11""";Hotwav;256GB;6;LTE;Black;"hotwav tab r9 pro 11"" 6 256gb black lte";"{'black', '256gb', 'pro', '6', 'lte', 'tab', 'r9', 'hotwav', '11""'}";;
"Hotwav TAB R9 Pro 11"" 6/256Gb Red LTE";"Hotwav TAB R9 Pro 11""";Hotwav;256GB;6;LTE;Red;"hotwav tab r9 pro 11"" 6 256gb red lte";"{'red', '256gb', 'pro', '6', 'lte', 'tab', 'r9', 'hotwav', '11""'}";;
JBL Charge 5 Black;JBL Charge 5;JBL;;;;Black;jbl charge 5 black;{'black', '5', 'charge', 'jbl'};6925281982088;
JBL Charge 6 Black;JBL Charge 6;JBL;;;;Black;jbl charge 6 black;{'black', '6', 'charge', 'jbl'};1200130019555;
JBL Charge 6 Blue;JBL Charge 6;JBL;;;;Blue;jbl charge 6 blue;{'6', 'blue', 'charge', 'jbl'};1200130019579;
JBL Charge 6 Pink;JBL Charge 6;JBL;;;;Pink;jbl charge 6 pink;{'6', 'pink', 'charge', 'jbl'};1200130019623;
JBL Charge 6 Purple;JBL Charge 6;JBL;;;;Purple;jbl charge 6 purple;{'6', 'purple', 'charge', 'jbl'};1200130019593;
JBL Charge 6 Red;JBL Charge 6;JBL;;;;Red;jbl charge 6 red;{'red', '6', 'charge', 'jbl'};1200130019562;
JBL Charge 6 Squad;JBL Charge 6 Squad;JBL;;;;;jbl charge 6 squad;{'6', 'squad', 'charge', 'jbl'};1200130019609;
JBL Charge 6 White;JBL Charge 6;JBL;;;;White;jbl charge 6 white;{'6', 'charge', 'white', 'jbl'};1200130019586;
JBL Flip 7 Black;JBL Flip 7;JBL;;;;Black;jbl flip 7 black;{'black', 'flip', '7', 'jbl'};1200130019272;
JBL Flip 7 Blue;JBL Flip 7;JBL;;;;Blue;jbl flip 7 blue;{'flip', 'blue', '7', 'jbl'};1200130019289;
JBL Flip 7 Pink;JBL Flip 7;JBL;;;;Pink;jbl flip 7 pink;{'flip', 'pink', '7', 'jbl'};;
JBL Flip 7 Purple;JBL Flip 7;JBL;;;;Purple;jbl flip 7 purple;{'flip', 'purple', '7', 'jbl'};1200130019319;
JBL Flip 7 Red;JBL Flip 7;JBL;;;;Red;jbl flip 7 red;{'red', 'flip', '7', 'jbl'};1200130019296;
JBL Flip 7 Squad;JBL Flip 7 Squad;JBL;;;;;jbl flip 7 squad;{'flip', 'squad', '7', 'jbl'};1200130019340;
JBL Flip 7 White;JBL Flip 7;JBL;;;;White;jbl flip 7 white;{'white', 'flip', '7', 'jbl'};1200130019302;
JBL Go Essential 2 Bluetooth Speaker Black;JBL Go 2 Bluetooth Speaker;Essential;;;;Black;jbl go essential 2 bluetooth speaker black;{'black', 'go', 'bluetooth', 'essential', '2', 'jbl', 'speaker'};;
JBL Link Portable Grey;JBL Link Portable;JBL;;;;Grey;jbl link portable grey;{'portable', 'link', 'grey', 'jbl'};;
JBL Live 670NC Over Ear Bluetooth Headset Black;JBL Live 670NC Over Bluetooth Headset;JBL;;;;Black;jbl live 670nc over ear bluetooth headset black;{'black', 'bluetooth', 'live', 'jbl', '670nc', 'ear', 'over', 'headset'};;
JBL Live 670NC Over Ear Bluetooth Headset White;JBL Live 670NC Over Bluetooth Headset;JBL;;;;White;jbl live 670nc over ear bluetooth headset white;{'bluetooth', 'live', 'jbl', '670nc', 'ear', 'white', 'over', 'headset'};;
JBL Live 770NC Over Ear Bluetooth Headset Black;JBL Live 770NC Over Bluetooth Headset;JBL;;;;Black;jbl live 770nc over ear bluetooth headset black;{'black', 'bluetooth', 'live', 'jbl', 'ear', '770nc', 'over', 'headset'};;
JBL Live Pro 2 Black;JBL Live Pro 2;JBL;;;;Black;jbl live pro 2 black;{'black', '2', 'live', 'jbl', 'pro'};;
JBL Tour One M2 Black;JBL Tour One M2;JBL;;;;Black;jbl tour one m2 black;{'black', 'm2', 'jbl', 'tour', 'one'};;
Jbl Tune 510Bt Bluetooth Headset Black;Jbl Tune 510Bt Bluetooth Headset;JBL;;;;Black;jbl tune 510bt bluetooth headset black;{'black', 'bluetooth', 'jbl', 'tune', '510bt', 'headset'};6925281987267;
JBL Tune 510BT Bluetooth Headset Blue;JBL Tune 510BT Bluetooth Headset;JBL;;;;Blue;jbl tune 510bt bluetooth headset blue;{'bluetooth', 'jbl', 'blue', 'tune', '510bt', 'headset'};6925281987649;
JBL Tune 510BT Bluetooth Headset White;JBL Tune 510BT Bluetooth Headset;JBL;;;;White;jbl tune 510bt bluetooth headset white;{'bluetooth', 'jbl', 'tune', '510bt', 'white', 'headset'};6925281987632;
JBL Tune 525BT Bluetooth Headset Black;JBL Tune 525BT Bluetooth Headset;JBL;;;;Black;jbl tune 525bt bluetooth headset black;{'black', 'bluetooth', 'jbl', '525bt', 'tune', 'headset'};;
JBL Tune 570BT Bluetooth Headset Black;JBL Tune 570BT Bluetooth Headset;JBL;;;;Black;jbl tune 570bt bluetooth headset black;{'black', 'bluetooth', 'jbl', 'tune', '570bt', 'headset'};;
Jbl Tune 670Nc Headset Black;Jbl Tune 670Nc Headset;JBL;;;;Black;jbl tune 670nc headset black;{'black', 'jbl', '670nc', 'tune', 'headset'};;
JBL Tune 760NC Headphone Black;JBL Tune 760NC Headphone;JBL;;;;Black;jbl tune 760nc headphone black;{'black', 'jbl', 'tune', 'headphone', '760nc'};6925281988295;
JBL Tune 770 NC Headphone Black;JBL Tune 770 NC Headphone;JBL;;;;Black;jbl tune 770 nc headphone black;{'black', 'nc', '770', 'jbl', 'tune', 'headphone'};;
JBL Vibe Buds Black;JBL Vibe;JBL;;;;Black;jbl vibe buds black;{'black', 'buds', 'vibe', 'jbl'};;
JBL Wave 200TWS Wireless In-Ear Headphones Black;JBL Wave 200TWS In-Ear Headphones;JBL;;;;Black;jbl wave 200tws wireless in ear headphones black;{'black', 'in', 'wireless', 'headphones', '200tws', 'jbl', 'ear', 'wave'};;
JBL Wave 200TWS Wireless In-Ear Headphones White;JBL Wave 200TWS In-Ear Headphones;JBL;;;;White;jbl wave 200tws wireless in ear headphones white;{'in', 'wireless', 'headphones', '200tws', 'jbl', 'ear', 'white', 'wave'};;
JBL Wave Beam Black;JBL Wave Beam;JBL;;;;Black;jbl wave beam black;{'black', 'wave', 'beam', 'jbl'};;
Jbl Wave Beam Wireless In-Ear Headphones Black;Jbl Wave Beam In-Ear Headphones;JBL;;;;Black;jbl wave beam wireless in ear headphones black;{'black', 'beam', 'in', 'wireless', 'headphones', 'jbl', 'ear', 'wave'};;
JBL Wave Buds Black;JBL Wave;JBL;;;;Black;jbl wave buds black;{'black', 'buds', 'wave', 'jbl'};;
JBL Xtreme 4 Blue;JBL Xtreme 4;JBL;;;;Blue;jbl xtreme 4 blue;{'blue', '4', 'xtreme', 'jbl'};;
Logistique;Logistique;;;;;;logistique;{'logistique'};;
Mibro A1 Tarnish;Mibro A1 Tarnish;;;;;;mibro a1 tarnish;{'tarnish', 'mibro', 'a1'};;
Mibro A2 Black;Mibro A2;;;;;Black;mibro a2 black;{'black', 'a2', 'mibro'};;
Mini Projecteur Portable HY300 HD Black;Mini Projecteur Portable HY300 HD;;;;;Black;mini projecteur portable hy300 hd black;{'black', 'mini', 'portable', 'hy300', 'hd', 'projecteur'};;
Mini Projecteur Portable HY300 HD White;Mini Projecteur Portable HY300 HD;;;;;White;mini projecteur portable hy300 hd white;{'mini', 'portable', 'hy300', 'hd', 'white', 'projecteur'};;
Mini Projecteur Portable HY300 PRO 4K Black;Mini Projecteur Portable HY300 PRO 4K;;;;;Black;mini projecteur portable hy300 pro 4k black;{'black', '4k', 'mini', 'portable', 'hy300', 'pro', 'projecteur'};;
Mini Projecteur Portable HY300 PRO 4K Grey;Mini Projecteur Portable HY300 PRO 4K;;;;;Grey;mini projecteur portable hy300 pro 4k grey;{'4k', 'mini', 'portable', 'grey', 'hy300', 'pro', 'projecteur'};;
Mini Projecteur Portable HY300 PRO 4K White;Mini Projecteur Portable HY300 PRO 4K;;;;;White;mini projecteur portable hy300 pro 4k white;{'4k', 'mini', 'portable', 'hy300', 'white', 'pro', 'projecteur'};;
Mini Ventilateur Portable X10 Green ;Mini Ventilateur Portable X10;;;;;Green;mini ventilateur portable x10 green;{'x10', 'green', 'mini', 'portable', 'ventilateur'};;
Mini Ventilateur Portable X10 Pink;Mini Ventilateur Portable X10;;;;;Pink;mini ventilateur portable x10 pink;{'x10', 'pink', 'mini', 'portable', 'ventilateur'};;
Mini Ventilateur Portable X10 White;Mini Ventilateur Portable X10;;;;;White;mini ventilateur portable x10 white;{'x10', 'mini', 'portable', 'white', 'ventilateur'};;
